FraseID,Algoritmo,Resultado
1,VADER,"{""resultado"": {""neg"": 0.0, ""neu"": 0.872, ""pos"": 0.128, ""compound"": 0.3612}}"
2,VADER,"{""resultado"": {""neg"": 0.0, ""neu"": 0.586, ""pos"": 0.414, ""compound"": 0.8625}}"
3,VADER,"{""resultado"": {""neg"": 0.0, ""neu"": 1.0, ""pos"": 0.0, ""compound"": 0.0}}"
4,VADER,"{""resultado"": {""neg"": 0.0, ""neu"": 0.408, ""pos"": 0.592, ""compound"": 0.8271}}"
5,VADER,"{""resultado"": {""neg"": 0.0, ""neu"": 0.633, ""pos"": 0.367, ""compound"": 0.7003}}"
6,VADER,"{""resultado"": {""neg"": 0.0, ""neu"": 0.562, ""pos"": 0.437, ""compound"": 0.7184}}"
7,VADER,"{""resultado"": {""neg"": 0.0, ""neu"": 0.635, ""pos"": 0.365, ""compound"": 0.3182}}"
8,VADER,"{""resultado"": {""neg"": 0.279, ""neu"": 0.545, ""pos"": 0.176, ""compound"": -0.4019}}"
9,VADER,"{""resultado"": {""neg"": 0.264, ""neu"": 0.429, ""pos"": 0.307, ""compound"": -0.1027}}"
10,VADER,"{""resultado"": {""neg"": 0.0, ""neu"": 1.0, ""pos"": 0.0, ""compound"": 0.0}}"
