FraseID,Algoritmo,Resultado
1,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4702, ""1"": 0.5298}}}"
1,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.368, ""1"": 0.632}}}"
2,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1109, ""1"": 0.8891}}}"
2,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4461, ""1"": 0.5539}}}"
3,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6066, ""1"": 0.3934}}}"
3,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4738, ""1"": 0.5262}}}"
4,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4845, ""1"": 0.5155}}}"
4,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4603, ""1"": 0.5397}}}"
5,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.8804, ""1"": 0.1196}}}"
5,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6578, ""1"": 0.3422}}}"
6,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3838, ""1"": 0.6162}}}"
6,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5917, ""1"": 0.4083}}}"
7,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0877, ""1"": 0.9123}}}"
7,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4261, ""1"": 0.5739}}}"
8,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1161, ""1"": 0.8839}}}"
8,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4701, ""1"": 0.5299}}}"
9,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3198, ""1"": 0.6802}}}"
9,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4511, ""1"": 0.5489}}}"
10,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4789, ""1"": 0.5211}}}"
10,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4131, ""1"": 0.5869}}}"
11,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1364, ""1"": 0.8636}}}"
11,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3823, ""1"": 0.6177}}}"
12,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.9177, ""1"": 0.0823}}}"
12,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5426, ""1"": 0.4574}}}"
13,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.359, ""1"": 0.641}}}"
